source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[reference channel]	comment[carrier channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 349	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_40_S4-D7_1_5182.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_40_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_40_delta4	1	1	run 350	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_40_S4-D7_1_5182.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_40_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_40_delta8	1	1	run 351	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_40_S4-D7_1_5182.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 352	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_41_S4-D8_1_5183.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_41_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_41_delta4	1	1	run 353	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_41_S4-D8_1_5183.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_41_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_41_delta8	1	1	run 354	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_41_S4-D8_1_5183.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 355	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_42_S4-D9_1_5184.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_42_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_42_delta4	1	1	run 356	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_42_S4-D9_1_5184.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_42_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_42_delta8	1	1	run 357	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_42_S4-D9_1_5184.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 358	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_43_S4-D10_1_5185.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_43_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_43_delta4	1	1	run 359	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_43_S4-D10_1_5185.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_43_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_43_delta8	1	1	run 360	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_43_S4-D10_1_5185.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 361	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_44_S4-D11_1_5186.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_44_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_44_delta4	1	1	run 362	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_44_S4-D11_1_5186.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_44_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_44_delta8	1	1	run 363	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_44_S4-D11_1_5186.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 364	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_45_S4-E1_1_5187.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_45_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_45_delta4	1	1	run 365	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_45_S4-E1_1_5187.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p4a_45_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p4a_45_delta8	1	1	run 366	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_45_S4-E1_1_5187.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 367	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p4a	1	1	20220906_TIMS06_MCT_SA_HeLa_SM03p4a_Ref10_AID8_46_S4-E2_1_5188.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
