source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[pooled sample]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
pool100_130724_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	2	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	1	130724SL_Klun_3_oocytes-immature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool100_130724_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	2	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	2	130724SL_Klun_3_oocytes-immature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool10_1_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	1	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_1-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool10_1_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	1	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_1-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
pool10_2_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	2	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_2-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool10_2_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	2	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_2-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
pool10_3_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	3	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_3-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool10_3_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	10	3	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_141030	1	1	141030SL_Klun_GV-MII_3-10-Ooc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
secretome_130724_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	not applicable	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	not applicable	1	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	1	130724SL_Klun_2_secretome-mature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
secretome_130724_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	not applicable	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	not applicable	1	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	1	130724SL_Klun_4_secretome-immature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
control_medium_130724	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not applicable	not applicable	not applicable	not applicable	NT=buffer control;AC=PRIDE:0000911	not applicable	not applicable	not applicable	1	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	1	130724SL_Klun_5_control-medium.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable
