source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[spatial coordinates]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[reference channel]	comment[carrier channel]	comment[lcm microscope model]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[spatial coordinates]
m3B_02_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_02_target4	1	not available	3	run 236	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_02_S2-A2_1_4888.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_02_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_02_target8	1	not available	3	run 237	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_02_S2-A2_1_4888.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 238	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_03_S2-A3_1_4889.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_03_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_03_target4	1	not available	3	run 239	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_03_S2-A3_1_4889.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_03_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_03_target8	1	not available	3	run 240	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_03_S2-A3_1_4889.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 241	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_04_S2-A4_1_4890.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_04_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_04_target4	1	not available	3	run 242	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_04_S2-A4_1_4890.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 243	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_05_S2-A5_1_4891.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_05_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_05_target4	1	not available	3	run 244	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_05_S2-A5_1_4891.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_05_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_05_target8	1	not available	3	run 245	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_05_S2-A5_1_4891.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 246	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_06_S2-A6_1_4892.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_06_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_06_target4	1	not available	3	run 247	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_06_S2-A6_1_4892.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_06_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_06_target8	1	not available	3	run 248	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_06_S2-A6_1_4892.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 249	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_07_S2-A7_1_4893.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_07_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_07_target4	1	not available	3	run 250	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_07_S2-A7_1_4893.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_07_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_07_target8	1	not available	3	run 251	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_07_S2-A7_1_4893.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 252	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_08_S2-A8_1_4894.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_08_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_08_target4	1	not available	3	run 253	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_08_S2-A8_1_4894.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m3B_08_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m3B_08_target8	1	not available	3	run 254	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m3B	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m3B_Ref10_AID8_08_S2-A8_1_4894.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
