source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PC3_parental_cell_A13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A13	1	not pooled	11	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A15	1	not pooled	12	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A16	1	not pooled	13	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A17	1	not pooled	14	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A18	1	not pooled	15	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A19	1	not pooled	16	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A20	1	not pooled	17	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A21	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A21	1	not pooled	18	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A22	1	not pooled	19	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A23	1	not pooled	20	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
