source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[treatment]
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_1c_06	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	5	single cell	cellenONE	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_1c_06	1	not applicable	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_1c_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	not applicable
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_01	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	1	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_02	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	2	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_03	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	3	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_04	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	4	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_05	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	5	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_06	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	6	bulk control	cellenONE	not applicable	10	NT=bortezomib;AC=NCIT:C1851	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_10c_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_01	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	1	single cell	cellenONE	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_01	1	NT=bortezomib;AC=NCIT:C1851	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_02	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	2	single cell	cellenONE	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_02	1	NT=bortezomib;AC=NCIT:C1851	run 19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
HEK-20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_03	Homo sapiens	NT=kidney;AC=UBERON:0002113	not available	not applicable	HEK293T	CVCL_0063	HEK293T	not available	female	3	single cell	cellenONE	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_03	1	NT=bortezomib;AC=NCIT:C1851	run 20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20230825_AST1_EVO7_PS_SC_pSILAC_HEK_40SPD_4Th6ms_P_LH_borte10_1c_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	HEK293T	NT=bortezomib;AC=NCIT:C1851
