source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
sc_HeLa_011	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	C1	1	not pooled	not applicable	11	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_ProtCHIP_HeLaSC_MM1_50SPD_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_012	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	C7	1	not pooled	not applicable	12	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_ProtCHIP_HeLaSC_MM1_50SPD_C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_013	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	D2	1	not pooled	not applicable	13	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_ProtCHIP_HeLaSC_MM1_50SPD_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_014	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	D7	1	not pooled	not applicable	14	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_ProtCHIP_HeLaSC_MM1_50SPD_D7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_015	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	D9	1	not pooled	not applicable	15	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_ProtCHIP_HeLaSC_MM1_50SPD_D9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_016	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	B2	1	not pooled	not applicable	16	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_QC_HeLaSC_50SPD_SP1_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_017	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	C2	1	not pooled	not applicable	17	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_QC_HeLaSC_50SPD_SP1_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_018	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	D2	1	not pooled	not applicable	18	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_QC_HeLaSC_50SPD_SP1_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_019	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	E2	1	not pooled	not applicable	19	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_QC_HeLaSC_50SPD_SP1_E2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_HeLa_020	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	DMEM + 10% FBS	cell	single cell	cellenONE	O3	1	not pooled	not applicable	20	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	40	1	1	20231102_E0_NEO6_15cmAUR3_pepmapTrap_QC_HeLaSC_50SPD_SP1_O3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=HeLa;AC=EFO:0001185
sc_A549_001	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	RPMI 1640 + 10% FBS	cell	single cell	cellenONE	B18	1	not pooled	not applicable	1	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	20	1	1	20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=A549;AC=EFO:0001086
sc_A549_002	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	RPMI 1640 + 10% FBS	cell	single cell	cellenONE	B19	1	not pooled	not applicable	2	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	400	800	20	1	1	20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=A549;AC=EFO:0001086
