id	label	reason	evidence	organism	cell_type	isolation_method	scp_method	n_single_cells	labelling	carrier_channel	acquisition	instrument	has_sdrf	publication
PXD023366	include	each human oocyte lysed and acquired individually	PRIDE protocol	Homo sapiens	oocyte	manual picking	unclear	36	label free	no	DDA	Q Exactive HF	no	PMID:35809850
PXD023574	exclude	dilution mimics only	PRIDE protocol	Homo sapiens; Saccharomyces cerevisiae	K562; HeLa	unclear	unclear	unclear	TMT	unclear	both	Orbitrap Exploris 480	no	PMID:34793982
PXD024017	exclude	dilution mimics only	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:34137250
PXD024043	include	FACS-isolated single cells with single-cell raw files deposited	PRIDE protocol	Homo sapiens	HeLa	FACS	unclear	>430	label free	no	both	timsTOF	no	unclear
PXD025387	include	cellenONE single cell deposition on proteoCHIP	PRIDE protocol	Homo sapiens	HeLa; HEK	CellenONE	proteoCHIP	~158	TMT; label free	unclear	DDA	Orbitrap Exploris 480	no	unclear
PXD025481	include	FACS single cells with TMT carrier proteome channel	PRIDE protocol	Homo sapiens	A549	FACS	SCCP	>150 per drug	TMT; TMTpro	yes	DDA	Orbitrap Fusion Lumos	no	PMID:35731985
PXD025766	exclude	dilution mimics only	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	label free	unclear	DIA	Orbitrap Fusion Lumos	no	unclear
PXD027135	exclude	low-input not single-cell	PRIDE protocol	Homo sapiens	HeLa	unclear	Nano3 nanoreactor	unclear	label free	no	DDA	Q Exactive HF	no	PMID:34297524
PXD027742	exclude	dilution mimics only	paper methods	Homo sapiens	HeLa	unclear	carrier benchmarking	unclear	TMTpro	yes	DDA	Orbitrap Exploris 480	no	PMID:35194133
PXD027912	exclude	dilution mimics only	paper methods	Homo sapiens	unclear	unclear	SCoPE-MS SCoPE2 benchmarking	unclear	TMT	yes	both	Orbitrap Exploris 480	no	PMID:34967612
PXD028991	exclude	bulk proteomics	paper methods	Arabidopsis thaliana	root hair cell	FACS	unclear	unclear	label free	no	DDA	Q Exactive	no	PMID:38068690
PXD029320	include	FACS single-cell sorting with carrier	PRIDE protocol	Homo sapiens	OCI-AML8227	FACS	multiplexed scMS RETICLE	unclear	TMTpro	yes	DDA	Orbitrap Eclipse	no	unclear
PXD029729	exclude	low-input not single-cell	PRIDE protocol	Mus musculus	liver tissue	laser capture	nanoPOTS autoPOTS	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:35916235
PXD030607	include	single blastomeres microsampled	paper methods	Xenopus laevis	blastomere V11 V12 D11	capillary microsampling	CE-ESI-MS	unclear	label free	no	DDA	Q Exactive Plus	no	PMID:35464213
PXD031955	include	single blastomeres and neurons isolated	paper methods	Xenopus laevis	blastomere and hippocampal neuron	capillary microsampling	CE-ESI-MS	~3 neurons	label free	no	DDA	Q Exactive Plus	no	PMID:35464213
PXD034370	include	SCoPE-MS single cells with carrier	PRIDE protocol	Homo sapiens	U2OS	microscopy-guided sorting	SCoPE-MS FUNpro	unclear	TMT	yes	DDA	Orbitrap Fusion Lumos	no	unclear
PXD034957	exclude	bulk phosphoproteomics	PRIDE protocol	Homo sapiens	EA.hy926 HUVEC	unclear	unclear	unclear	mTRAQ	no	DIA	Orbitrap Fusion Lumos	no	PMID:37365174
PXD035339	exclude	top-down not bottom-up	paper methods	Homo sapiens	HeLa THP-1	manual picking	SC-TDP CE-MS/MS	4 HeLa 3 THP-1	label free	no	DDA	Orbitrap Fusion Lumos	no	PMID:36194750
PXD037527	include	cellenONE single-cell isolation nanoPOTS	PRIDE protocol	Homo sapiens	HeLa K562	CellenONE	nanoPOTS	unclear	label free	no	both	Orbitrap Exploris 480	no	PMID:37380610
PXD038632	include	FACS-sorted single HeLa cells measured by mDIA	paper methods	Homo sapiens	HeLa	FACS	mDIA multiplex-DIA	476	dimethyl	yes	both	timsTOF SCP	no	PMID:37602975
PXD038699	include	laser-microdissected single hepatocyte shapes with mDIA	paper methods	Mus musculus	hepatocyte	laser capture	scDVP mDIA	455	dimethyl	yes	DIA	timsTOF SCP	no	PMID:37783884
PXD038915	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	SILAC	no	DIA	Q Exactive HF	no	unclear
PXD039066	include	cellenONE-isolated single primary T cells alongside low-input benchmarking	paper methods	Homo sapiens	primary T cell	CellenONE	label-free SCP DDA-PASEF	3	label free	no	DDA	timsTOF SCP	no	PMID:37395315
PXD039208	exclude	dilution mimics only; 250 pg HeLa digest standard, no cells isolated	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	label free	no	both	Orbitrap Exploris 480	no	unclear
PXD039578	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	SILAC	no	DIA	Q Exactive HF	no	unclear
PXD039580	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	SILAC	no	both	Q Exactive HF	no	unclear
PXD040455	include	cellenONE-sorted single cells on hyperSCP chip with carrier channel	PRIDE protocol	Homo sapiens	HeLa A549 HFL1 K562	CellenONE	hyperSCP	unclear	TMTpro	yes	DDA	Orbitrap Exploris 480	no	PMID:37167627
PXD040662	exclude	bulk proteomics; single-cell claim refers to imaging mass cytometry not MS	paper methods	Homo sapiens	breast cancer cell lines	unclear	unclear	unclear	TMTpro	no	DDA	Orbitrap Eclipse	no	PMID:39232464
PXD041328	include	single cells FACS-sorted into proteoCHIP nanowells with TMT carrier	PRIDE protocol	Mus musculus	gastruloid germ layer cells	CellenONE	proteoCHIP	unclear	TMT	yes	DDA	Orbitrap Eclipse	no	PMID:38754429
PXD041879	include	single cells dispensed by cellenONE into nanowells, nanoPOTS workflow	PRIDE protocol	Homo sapiens	unclear	CellenONE	nanoPOTS one-step	unclear	label free	no	DDA	Orbitrap Eclipse	no	PMID:37410391
PXD043355	include	single HeLa and Jurkat cells dispensed into 384-well plates	PRIDE protocol	Homo sapiens	HeLa Jurkat	HP D100 dispenser	one-step label-free SCP	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:37594399
PXD043473	include	FACS-sorted single E. coli cells with 250-cell carrier proteome	paper methods	Escherichia coli	E. coli BL21	FACS	SBP TMT SCP	48	TMT	yes	DDA	Orbitrap Fusion Eclipse	no	PMID:37713396
PXD043817	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	unclear	unclear	DIA	Q Exactive HF	no	unclear
PXD043895	exclude	bulk proteomics	PRIDE protocol	Arabidopsis thaliana	rosette seedling	unclear	unclear	unclear	unclear	unclear	both	Q Exactive HF	no	unclear
PXD044553	exclude	bulk proteomics	paper methods	Homo sapiens	breast cancer cell lines	unclear	unclear	unclear	TMTpro	unclear	DDA	Orbitrap Eclipse	no	PMID:39232464
PXD044986	include	cellenONE per-cell isolation with timsTOF SCP	paper methods	Homo sapiens	NHC HuCCT-1 RBE EGI-1 Jurkat	CellenONE	cellenONE single-cell	unclear	label free	no	both	timsTOF SCP	no	PMID:39030393
PXD045614	include	each oocyte lysed and acquired individually	paper methods	Mus musculus	MII oocyte	manual picking	single-oocyte proteomics	~27	label free	no	both	Orbitrap Fusion Lumos	no	PMID:39571909
PXD045844	include	patch-clamp collection of single LC neurons	PRIDE protocol	Mus musculus	locus coeruleus noradrenergic neuron	patch clamp aspiration	patch-clamp single-neuron MS	unclear	label free	no	DDA	Orbitrap Eclipse	no	PMID:38459766
PXD046211	include	SCoPE2 FACS single cells with carrier	PRIDE protocol	Homo sapiens	THP-1 U937	FACS	SCoPE2	unclear	TMTpro	yes	DDA	Orbitrap Fusion Lumos; Exploris 240; timsTOF SCP	yes	doi:10.48550/arXiv.2310.13598
PXD046357	uncertain	paper methods describe only bulk and dilution series; single-cell isolation asserted only in terse PRIDE one-liner, no cell counts	PRIDE protocol	Homo sapiens	HeLa	CellenONE	proteoCHIP LF	unclear	label free	no	DIA	Orbitrap Astral	no	PMID:38302753
PXD046467	include	subcellular proteome aspirated from identified single D11 blastomere	PRIDE protocol	Xenopus laevis; Homo sapiens	D11 blastomere; HeLa	capillary microsampling	CE-ESI-MS single-cell	unclear	label free	no	both	Q Exactive	no	PMID:39325989
PXD047316	exclude	bulk proteomics	PRIDE protocol	Mus musculus	EPP2	unclear	unclear	unclear	SILAC	unclear	DIA	Q Exactive HF	no	doi:10.1038/s41467-025-59185-4
PXD047627	exclude	dilution mimics only	paper methods	Homo sapiens	HeLa	unclear	unclear	unclear	label free	no	DDA	Q Exactive HF	no	PMID:38514245
PXD047762	exclude	low-input LMD microregions not single cells	paper methods	Homo sapiens; Mus musculus	tonsil B-cell T-cell epithelial regions; liver	laser capture	LMD proteoCHIP	unclear	label free	no	DIA	timsTOF SCP	no	PMID:38513891
PXD048052	include	single cells dispensed per well with 3000-cell reference channel	PRIDE protocol	Homo sapiens	prostate cancer cells	unclear	microHOLD	unclear	TMT	yes	DDA	Q Exactive HF	no	PMID:38991018
PXD048162	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	U-2 OS	unclear	unclear	unclear	label free	no	DDA	Orbitrap Fusion Lumos	no	unclear
PXD048179	include	FACS-sorted single cells acquired as distinct DIA runs	PRIDE protocol	Homo sapiens	U-2 OS	FACS	DIA-ME	unclear	label free	no	DIA	timsTOF Pro	no	unclear
PXD048347	include	cellenONE/proteoCHIP single cells with TMT carrier	PRIDE protocol	Mus musculus	mouse gastruloid cells	CellenONE	proteoCHIP SCoPE-like TMT	unclear	TMTpro	yes	DDA	Orbitrap Eclipse	no	PMID:38754429
PXD048565	exclude	dilution mimics only; Pierce HeLa digest dilutions	PRIDE protocol	Homo sapiens	HeLa	unclear	unclear	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:38353725
PXD048926	exclude	dilution mimics only; bulk HeLa digest dilution series	PRIDE protocol	Homo sapiens	HeLa S3	unclear	unclear	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:38832920
PXD049181	include	cellenONE proteoCHIP EVO 96 single cells; 1Cell raw runs deposited	PRIDE protocol	Homo sapiens	iPSC and embryoid body cells	CellenONE	proteoCHIP EVO 96	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD049211	include	cellenONE proteoCHIP EVO 96 single cells; 1Cell raw runs deposited	PRIDE protocol	Homo sapiens	HeLa and HeLa spheroids	CellenONE	proteoCHIP EVO 96	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD049248	exclude	single-cell raw files not deposited; only HeLa dilution raws plus msf results	PRIDE protocol	Homo sapiens	MM.1S	CellenONE	cellenONE X1 sorting	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:38915247
PXD049412	include	cellenONE-sorted single cells deposited as per-cell DIA runs	PRIDE protocol	Homo sapiens	A549 and HeLa	CellenONE	cellenONE 384-well	unclear	label free	no	DIA	Orbitrap Astral	no	PMID:39820751
PXD051273	exclude	bulk proteomics; mouse serum N-terminomics	PRIDE protocol	Mus musculus	serum	unclear	unclear	unclear	SILAC	no	DIA	Orbitrap Exploris 480	no	unclear
PXD051795	uncertain	DVP protocol contradictory; cannot confirm individual cells acquired as distinct runs vs pooled cell-type contours	PRIDE protocol	Homo sapiens	Hodgkin lymphoma and small lymphocytic lymphoma cells	laser capture	Deep Visual Proteomics	unclear	label free	no	both	timsTOF Pro	no	unclear
PXD051942	include	SC-pSILAC single cells; 1c raw runs deposited alongside bulk benchmarks	PRIDE protocol	Homo sapiens	HeLa HEK 293T iPSC	unclear	SC-pSILAC	unclear	SILAC	no	DIA	Orbitrap Astral	no	unclear
PXD052080	exclude	bulk proteomics; spike-in SILAC benchmark and FFPE lysates	PRIDE protocol	Homo sapiens	HL-60 and HNSCC FFPE	unclear	unclear	unclear	SILAC	no	DIA	timsTOF Pro 2	no	PMID:39271013
PXD052416	include	single HeLa cells isolated by cellenONE and acquired individually	paper methods	Homo sapiens	HeLa ATG5-KO	CellenONE	cellenONE label-free SCP	42	label free	no	DIA	timsTOF Ultra	no	PMID:39536954
PXD053023	include	nine single blastomeres individually isolated and measured	paper methods	Xenopus laevis	animal cap blastomere	manual picking	Eco-IMS CE-ESI ddaPASEF	9	label free	no	DDA	timsTOF Pro	no	PMID:39674510
PXD053053	include	FACS-sorted single cells multiplexed by SCoPE2 with booster channel	paper methods	Homo sapiens	HEK293F PIP-FUCCI	FACS	SCoPE2	1152	TMTpro	yes	DDA	Orbitrap Eclipse	no	PMID:41317903
PXD053450	exclude	bulk proteomics; pericardial fluid pools with tissue carrier, no cells isolated	paper methods	Homo sapiens	pericardial fluid	unclear	carrier-based TMT (SCoPE-derived)	unclear	TMT	yes	DDA	Orbitrap Exploris 480	no	PMID:39004188
PXD053462	exclude	dilution mimics only; HeLa/E.coli digest spike benchmark, no real cells	PRIDE protocol	Homo sapiens	HeLa S3 digest standard	unclear	unclear	unclear	label free	no	DIA	timsTOF Pro 2	no	unclear
PXD053464	include	FACS one-cell-per-well sorting of U-2 OS into 384-well plates	PRIDE protocol	Homo sapiens	U-2 OS	FACS	DIA-ME label-free SCP	unclear	label free	no	DIA	timsTOF Pro 2	no	unclear
PXD053473	exclude	dilution mimics only; bulk U-2 OS lysate diluted to 200 pg-10 ng loads	PRIDE protocol	Homo sapiens	U-2 OS	unclear	unclear	unclear	label free	no	DIA	timsTOF Pro 2	no	unclear
PXD054066	include	CellenONE sorts individual cells into proteoCHIP EVO 96 wells	PRIDE protocol	Homo sapiens	HeLa and hiPSC/embryoid body	CellenONE	cellenONE proteoCHIP EVO 96	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD054083	include	single-cell pSILAC runs on individually isolated cells	PRIDE protocol	Homo sapiens	HeLa HEK293 and hiPSC/fibroblast	unclear	SC-pSILAC	unclear	SILAC	no	DIA	Orbitrap Astral	no	unclear
PXD054445	include	CellenONE-sorted single HeLa cells alongside 20-cell and bulk controls	PRIDE protocol	Homo sapiens	HeLa and SCC-25	CellenONE	cellenONE proteoCHIP SCP	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD055869	include	FACS-separated salivary single cells deposited individually by cellenONE	PRIDE protocol	Homo sapiens	salivary gland stem/progenitor cell	FACS and CellenONE	cellenONE label-free SCP	unclear	label free	no	DIA	timsTOF SCP	no	PMID:40399315
PXD055915	include	single cells transferred individually to vials via DIRECT method	paper methods	Homo sapiens	PANC-1 MIA PaCa-2 AsPC-1 HPAF HPDE	manual picking	SLB-msSIM	unclear	label free	no	DDA	Q Exactive HF	no	PMID:40904101
PXD056327	include	CellenONE-isolated single HeLa cells plus One-Tip 1000-cell benchmarking	paper methods	Homo sapiens	HeLa	CellenONE	cellenONE proteoCHIP EVO 96	unclear	label free	no	both	Orbitrap Astral	no	PMID:39901769
PXD057632	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	skin fibroblast and A2780	unclear	unclear	unclear	SILAC	unclear	DIA	Orbitrap Fusion Lumos; timsTOF Ultra	no	unclear
PXD057685	include	single blastomeres individually isolated and measured	paper methods	Xenopus laevis	animal cap blastomere	manual picking	CE-MS Eco-IMS ddaPASEF	9	label free	no	DDA	timsTOF PRO	no	PMID:39674510
PXD058457	include	cellenONE single-cell dispensing 1536 cells	paper methods	Homo sapiens; Mus musculus	HeLa; lung macrophage	CellenONE	CellenONE Slice-PASEF SCP	1536	label free	no	DIA	timsTOF SCP	yes	PMID:40544993
PXD058753	include	1 cell sorted into proteoCHIP with SILAC turnover	PRIDE protocol	Homo sapiens	HFF	FACS	proteoCHIP SC-pSILAC	unclear	SILAC	no	DIA	Orbitrap Astral	no	unclear
PXD059079	include	cellenONE isolated single PC3 cells	paper methods	Homo sapiens	PC3	CellenONE	CellenONE on-plate SCP DIA	unclear	label free	no	DIA	Orbitrap Ascend; timsTOF HT	no	PMID:40090465
PXD059683	exclude	bulk proteomics	PRIDE protocol	Mus musculus	B cell; CD4 T cell; CD8 T cell; BMDM; BMDC	unclear	unclear	unclear	label free	no	DDA	Q Exactive HF	no	unclear
PXD061052	exclude	low-input 500-cell mini-bulk not single-cell	PRIDE protocol	Homo sapiens	neutrophil	FACS	unclear	unclear	label free	no	DIA	Orbitrap Astral	yes	unclear
PXD061065	include	single neutrophils FACS sorted per well	PRIDE protocol	Homo sapiens	neutrophil	FACS	CellenONE SCP	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD061658	exclude	bulk IP-MS proteomics	PRIDE protocol	Mus musculus	mESC	unclear	unclear	unclear	label free	no	DDA	Orbitrap Exploris 480	no	PMID:40867056
PXD061710	include	single cells dispensed via CellenONE proteoCHIP	PRIDE protocol	Homo sapiens; Mus musculus	RKO; MDA-MB; pancreas	CellenONE	proteoCHIP EVO 96 SCP	unclear	label free	no	DIA	timsTOF SCP	no	unclear
PXD062231	include	individual hepatocytes laser microdissected	PRIDE protocol	Homo sapiens	hepatocyte	laser capture	scDVP	unclear	label free	no	DIA	Orbitrap Astral	no	unclear
PXD062702	include	16 single blastomeres isolated and analysed	paper methods	Xenopus laevis	D11 and V11 blastomere	manual picking	CE-MS Eco-AI	16	label free	no	DDA	Q Exactive Plus	no	PMID:40847748
PXD063590	include	cellenONE sorted single cells with nPOP pSCoPE	PRIDE protocol	Homo sapiens	prefrontal cortex cell	CellenONE	nPOP pSCoPE	2000	TMTpro	yes	DDA	Orbitrap Exploris 480	no	unclear
PXD064265	exclude	bulk proteomics	paper methods	Homo sapiens	dorsolateral prefrontal cortex tissue	unclear	unclear	unclear	mTRAQ	unclear	DIA	Orbitrap Exploris 480	no	unclear
PXD064499	include	single cardiomyocytes individually isolated and TMT-labelled	PRIDE protocol	Mus musculus	adult cardiomyocyte	manual picking	manual single-cardiomyocyte isolation	unclear	TMT	unclear	DDA	Orbitrap Eclipse	no	unclear
PXD064501	include	single cardiomyocytes FACS-sorted then TMT-labelled	PRIDE protocol	Mus musculus	adult cardiomyocyte	FACS	FACS single-cardiomyocyte isolation	unclear	TMT	unclear	DDA	Orbitrap Eclipse	no	unclear
PXD064518	include	single cardiomyocytes individually isolated and TMT-labelled	PRIDE protocol	Mus musculus	adult cardiomyocyte	manual picking	manual single-cardiomyocyte isolation	unclear	TMT	unclear	DDA	Orbitrap Eclipse	no	unclear
PXD064564	exclude	dilution mimics only; this companion record deposits only HeLa dilution-series raws, single-cell raws are in PXD049412	paper methods	Homo sapiens	HeLa	CellenONE	cellenONE one-pot	unclear	label free	no	DIA	Orbitrap Astral	no	PMID:39820751
PXD067019	uncertain	no evidence of per-cell isolation; protocol covers only plate supports digestion ratios and LC setup; no publication	PRIDE protocol	Homo sapiens	unclear	unclear	unclear	unclear	label free	unclear	DIA	timsTOF Ultra 2	no	unclear
PXD067623	include	organoid-derived single cells injected individually as per-well digests	paper methods	Homo sapiens	brain organoid cell	unclear	label-free single-cell DIA	unclear	label free	no	DIA	Orbitrap Astral	no	PMID:41091888
PXD069039	uncertain	deposited protocol describes only TMTpro dilution mimics; no methods for per-cell isolation; linked publication is unrelated	PRIDE protocol	Homo sapiens	HeLa	unclear	SureQuant triggered MS/MS with super-heavy TMTpro	unclear	TMTpro	unclear	DDA	Orbitrap Exploris 480	no	unclear
PXD069335	include	cellenONE-isolated single H460 cells measured alongside HeLa dilution benchmarking	paper methods	Homo sapiens	H460	CellenONE	cellenONE One-Pot	unclear	label free	no	DIA	Orbitrap Astral	no	PMID:41865189
PXD069842	exclude	bulk proteomics; this record contains plasma proteomics only, the spatial single-cell work is a different non-MS modality	paper methods	Homo sapiens	blood plasma	unclear	unclear	unclear	label free	unclear	DIA	timsTOF HT	no	PMID:41680132
PXD069877	exclude	low-input but not single-cell; laser-capture microdissected tissue voxels	PRIDE protocol	Homo sapiens	tonsil liver and HNSCC tissue	laser capture	spatial tissue proteomics	unclear	label free	unclear	DIA	timsUltra AIP	no	PMID:41418981
PXD069898	include	cellenOne-isolated single cells from WT83 brain organoids alongside bulk training data	PRIDE protocol	Homo sapiens	brain organoid cell	CellenONE	cellenOne label-free SCP	unclear	label free	no	DDA	Orbitrap Astral	no	PMID:41459773
PXD070049	exclude	dilution mimics only; commercial K562 yeast and E. coli digest mixtures, no cells isolated	PRIDE protocol	Homo sapiens	K562 yeast and E. coli digest standards	unclear	unclear	unclear	label free	unclear	both	Orbitrap Astral timsTOF Ultra ZenoTOF	no	unclear
PXD070185	include	FACS-sorted single cells per well with per-well raw runs	PRIDE protocol	Homo sapiens; Mus musculus	HEK293; hepatocyte	FACS	EasySCP	unclear	label free	no	DIA	Orbitrap Astral	no	doi:10.5281/zenodo.18824148
PXD070201	include	single cells dispensed one per well; per-cell LC-MS runs	PRIDE protocol	Homo sapiens; Mus musculus	HeLa; K562; RAW 264.7	Tecan UNO dispenser	multicolumn nanoLC SCP	~600	label free	no	DIA	Orbitrap Astral	no	unclear
PXD071075	include	FACS single cells into 384-well plates; label-free per-cell runs	PRIDE protocol	Homo sapiens	neuronal cells from developing brain	FACS	label-free SCP with Evosep	unclear	label free	no	DIA	Orbitrap Eclipse	no	unclear
PXD071172	exclude	bulk proteomics	PRIDE protocol	Homo sapiens	trigeminal ganglion tissue	unclear	unclear	unclear	label free	unclear	DIA	timsTOF SCP	no	PMID:42162424
PXD071205	exclude	dilution mimics only	PRIDE protocol	Homo sapiens; Saccharomyces cerevisiae; Escherichia coli	K562 digest standard	unclear	unclear	unclear	label free	unclear	DIA	Orbitrap Astral	yes	unclear
PXD073250	include	FACS single cells into hexadecane wells; 419 tumor cells analysed	PRIDE protocol	Homo sapiens	CCS tumor cells; macrophages; keratinocytes	FACS	hexadecane oil-immersion SCP	~419	label free	no	DIA	timsTOF HT	no	doi:10.26508/lsa.202603759r
PXD073405	uncertain	no full-text Methods; PRIDE protocol describes only HeLa digest dilution series, per-cell isolation and carrier not stated	abstract	Homo sapiens	Jurkat; HeLa	unclear	SureQuant shTMTpro	unclear	TMTpro	unclear	DDA	Orbitrap Exploris 480	no	PMID:41591392
PXD074900	include	HeLa single cells sorted per well; per-well raw runs deposited	PRIDE protocol	Homo sapiens	HeLa	FACS	EasySCP	unclear	label free	no	DIA	Orbitrap Astral Zoom	no	doi:10.5281/zenodo.18824148
